Filename,ASSAT,ASSAT_pi,ASSAT_pi_Act,ASSAT_pi_ActT,ASSAT_pi_ActT1,ASSAT_pi_ActT2,ASSAT_pi_ActT3
  bw3.pfile-4-06.pddl.2.cnf.af,0.03,0.01,0.01,0.01,0.01,0.01,0.01
  bw3.pfile-4-06.pddl.5.cnf.af,0.1,0.01,0.01,0.01,0.01,0.01,0.01
  bw3.pfile-4-07.pddl.6.cnf.af,0.73,0.07,0.07,0.07,0.07,0.07,0.07
  charlottesville_va_2016-01.gml.80.af,0.2,0.01,0.01,0.01,0.01,0.01,0
  chicago_2016-01.gml.50.af,505.57,0.79,0.72,0.64,0.62,0.6,0.5
  citybus_20151001_1343.gml.20.af,0.42,0.01,0.01,0.01,0.01,0.01,0.01
  commute.org_20140813_1738.gml.20.af,0.01,0,0,0,0,0,0
  commuteorg-shuttle_20150308_1938.gml.20.af,0.01,0,0,0,0,0,0
  commuteorg-shuttle_20150308_1938.gml.50.af,0.02,0,0,0,0,0,0
  covington_2016-01.gml.50.af,2.12,0.03,0.04,0.04,0.04,0.03,0.03
  crusti_g2io_125_0.5_31_29.af,10.51,4.63,7.8,4.28,3.22,6.08,4.35
  crusti_g2io_125_0.5_31_32.af,10.61,5.7,5.28,3.54,4.89,5.1,2.67
  crusti_g2io_125_0.5_31_33.af,13.06,7.85,5.22,4.73,4.03,5.5,5.52
  crusti_g2io_125_0.5_31_48.af,11.41,5.46,4.7,4.68,4.68,5.56,4.25
  crusti_g2io_125_0.5_31_5.af,11.11,6.65,7.11,6.15,3.58,4.27,5.06
  crusti_g2io_150_0.1_255_18.af,124.33,96.14,96.85,41.17,40.63,46.53,34.44
  crusti_g2io_150_0.1_255_26.af,163.89,109.66,88.82,44.82,34.26,61.3,62.18
  crusti_g2io_175_0.2_511_10.af,759.74,265.25,322.64,252.74,253.25,142.83,201.06
  crusti_g2io_175_0.2_511_13.af,717.51,653.19,525.58,137.06,194.57,164.33,278.35
  crusti_g2io_175_0.2_511_32.af,2400,259.74,502.23,311.64,304.95,258.8,232.12
  crusti_g2io_175_0.2_511_36.af,26.9,34.56,35.87,27.34,39.7,31.16,43.87
  crusti_g2io_175_0.2_511_48.af,920.35,445.35,543.74,337.73,287.29,231.64,274.02
  crusti_g2io_200_0.1_127_12.af,212.93,171.48,210.15,557.54,2400,2400,372.99
  crusti_g2io_200_0.1_127_19.af,358.16,2400,1029.08,935.73,2400,2400,1090.78
  crusti_g2io_200_0.1_127_38.af,223.72,871.26,1127.21,170.84,442.61,274.73,1093.31
  crusti_g2io_200_0.1_127_46.af,492.43,381.41,1002.58,2400,2400,741.32,2400
  crusti_g2io_200_0.1_127_6.af,393.75,457.23,357.26,938.18,2400,2400,2400
  crusti_g2io_200_0.1_127_8.af,261.08,171.7,348.71,942.45,2400,757.5,856.24
  crusti_g2io_225_0.1_31_25.af,1008.43,2400,2400,2400,2400,2400,2400
  crusti_g2io_225_0.2_127_2.af,351.79,222.89,101.81,87.3,222.48,310.75,73.26
  crusti_g2io_225_0.2_127_31.af,382.47,229.19,230.45,206.97,304.42,320.78,270.51
  crusti_g2io_225_0.2_127_41.af,245.37,58.78,53.45,78.15,59.13,103.47,173.44
  crusti_g2io_250_0.2_255_12.af,2400,354.55,2400,686.64,419.1,1099.28,325.24
  crusti_g2io_250_0.2_255_15.af,2400,282.27,2400,354.2,554.4,527.74,146.98
  crusti_g2io_250_0.2_255_18.af,2400,525.06,620.1,205.44,245.75,325.8,431.68
  crusti_g2io_250_0.2_255_24.af,2400,2400,2400,872.11,2400,793.96,833.64
  crusti_g2io_250_0.2_255_31.af,1100.08,580.06,511.11,331.82,647.61,713.12,662.63
  crusti_g2io_250_0.2_255_43.af,2400,1044.75,353.82,369.14,179.13,373.82,225.82
  crusti_g2io_300_0.2_255_11.af,2400,2400,2400,708.09,1123.79,869.81,2400
  crusti_g2io_300_0.2_255_17.af,2400,2400,2400,2400,418.07,2400,2400
  crusti_g2io_300_0.2_255_26.af,2400,2400,1006.03,924.01,2400,2400,1146.41
  crusti_g2io_350_0.5_255_40.af,2400,2400,2400,2400,2400,2400,2400
  cts_20130915_1535.gml.80.af,0.69,0.01,0.01,0.01,0.01,0.01,0.01
  empresa-publica-de-transportes-e-circulao_20141104_0243.gml.20.af,0.61,0.11,0.13,0.12,0.12,0.1,0.12
  ER_100_100_5.af,0.02,0.02,0.02,0.02,0.02,0.02,0.02
  ER_100_100_7.af,0.02,0.02,0.02,0.02,0.02,0.02,0.02
  ER_100_30_5.af,0.01,0.01,0.01,0.02,0.01,0.01,0.01
  ER_100_80_10.af,0.02,0.02,0.02,0.02,0.02,0.02,0.02
  ER_200_10_2.af,0.25,0.27,0.47,0.49,0.57,0.5,0.68
  ER_200_20_3.af,6.01,6.23,8.24,6.63,8.14,9.41,10.4
  ER_200_20_6.af,7.84,9.33,13.26,7.7,10.43,9.65,10.43
  ER_200_30_5.af,7.91,8.58,12.18,6.5,6.68,7.3,8.6
  ER_200_60_6.af,0.89,0.68,1.57,1.08,0.99,0.77,0.86
  ER_200_80_5.af,0.16,0.17,0.2,0.25,0.18,0.23,0.23
  ER_300_10_9.af,2400,2400,2400,2400,2400,2400,2400
  ER_300_20_2.af,2400,2400,2400,2400,2400,2400,2400
  ER_300_30_7.af,1147.83,2400,2400,617.28,767.58,907.76,943.62
  ER_300_30_8.af,2400,2400,2400,585.73,777.78,816.17,858.56
  ER_300_60_5.af,41.95,35.41,56.17,16.73,19.08,16.56,15.78
  ER_300_80_2.af,1.02,0.98,2.13,1.68,1.12,1.95,1.06
  ER_300_90_2.af,0.29,0.33,0.53,0.79,0.53,0.56,0.38
  ER_400_20_9.af,2400,2400,2400,2400,2400,2400,2400
  ER_400_30_9.af,2400,2400,2400,2400,2400,2400,2400
  ER_400_40_7.af,2400,2400,2400,2400,2400,2400,2400
  ER_400_50_4.af,2400,2400,2400,486.81,542.12,559.78,578.1
  ER_400_60_5.af,587.52,563.02,967.52,144.6,128.32,128.16,135.28
  ER_500_100_5.af,0.64,0.63,0.65,1.4,0.93,1.69,1.05
  ER_500_60_5.af,2400,2400,2400,749.02,784.08,834.27,800.73
  ER_500_80_6.af,51.2,41.35,109.78,27.03,27.18,26.23,26.01
  ferry2.pfile-L2-C1-02.pddl.2.cnf.af,0,0,0,0,0,0,0
  ferry2.pfile-L2-C2-01.pddl.6.cnf.af,0.03,0.01,0.01,0.01,0.01,0.01,0.01
  ferry2.pfile-L2-C2-010.pddl.1.cnf.af,0.01,0,0,0,0,0,0
  ferry2.pfile-L2-C2-04.pddl.2.cnf.af,0.01,0,0,0,0,0,0
  ferry2.pfile-L2-C2-07.pddl.2.cnf.af,0.01,0,0,0,0,0,0
  ferry2.pfile-L2-C3-05.pddl.1.cnf.af,0.03,0.01,0.01,0.01,0.01,0.01,0.01
  ferry2.pfile-L2-C3-09.pddl.1.cnf.af,0.03,0.01,0.01,0.01,0.01,0.01,0.01
  ferry2.pfile-L2-C4-03.pddl.1.cnf.af,0.02,0,0,0,0,0,0
  ferry2.pfile-L2-C4-06.pddl.2.cnf.af,0.01,0.01,0.01,0.01,0.01,0.01,0.01
  ferry2.pfile-L2-C4-07.pddl.1.cnf.af,0.07,0.01,0.01,0.01,0.01,0.01,0.01
  ferry2.pfile-L2-C4-09.pddl.6.cnf.af,0.08,0.01,0.01,0.01,0.01,0.01,0.01
  ferry2.pfile-L3-C1-010.pddl.3.cnf.af,0.02,0.01,0.01,0.01,0.01,0.01,0.01
  ferry2.pfile-L3-C1-08.pddl.2.cnf.af,0.01,0.01,0.01,0.01,0.01,0.01,0.01
  ferry2.pfile-L3-C2-03.pddl.2.cnf.af,0.02,0.01,0.01,0.01,0.01,0.01,0.01
  ferry2.pfile-L3-C2-04.pddl.2.cnf.af,0.02,0.01,0.01,0.01,0.01,0.01,0.01
  ferry2.pfile-L3-C2-08.pddl.5.cnf.af,0.03,0.01,0.01,0.01,0.01,0.01,0.01
  g_1160_0.02_10.af,0.06,0.06,0.06,0.06,0.06,0.06,0.06
  g_1191_0.02_8.af,0.07,0.07,0.07,0.07,0.07,0.07,0.07
  g_1265_0.05_3.af,0.18,0.18,0.18,0.17,0.18,0.17,0.17
  g_1400_0.02_9.af,0.09,0.09,0.09,0.09,0.09,0.09,0.09
  g_1477_0.03_8.af,0.15,0.15,0.15,0.15,0.15,0.15,0.15
  g_1498_0.02_2.af,0.1,0.1,0.1,0.1,0.1,0.1,0.1
  g_1570_0.02_4.af,0.11,0.11,0.11,0.1,0.11,0.11,0.11
  g_1590_0.01_1.af,0.07,0.06,0.06,0.06,0.06,0.06,0.06
  g_1604_0.03_3.af,0.17,0.17,0.17,0.17,0.17,0.17,0.17
  g_1768_0.05_2.af,0.35,0.34,0.33,0.34,0.34,0.34,0.34
  g_2016_0.01_9.af,0.1,0.1,0.1,0.1,0.1,0.1,0.1
  g_2176_0.05_9.af,0.52,0.51,0.5,0.5,0.51,0.5,0.51
  g_2288_0.02_7.af,0.24,0.23,0.23,0.23,0.24,0.23,0.24
  g_2295_0.03_7.af,0.38,0.37,0.37,0.37,0.38,0.37,0.37
  g_2490_0.02_9.af,0.3,0.29,0.29,0.29,0.3,0.29,0.29
  g_2557_0.03_2.af,0.47,0.46,0.46,0.46,0.47,0.46,0.47
  g_2664_0.01_2.af,0.18,0.17,0.17,0.17,0.18,0.17,0.17
  g_2709_0.05_5.af,0.89,0.86,0.85,0.86,0.87,0.85,0.88
  g_3142_0.04_3.af,0.87,0.85,0.84,0.84,0.86,0.84,0.87
  g_3195_0.03_8.af,0.76,0.75,0.74,0.74,0.76,0.72,0.75
  g_3286_0.01_6.af,0.27,0.26,0.26,0.26,0.26,0.25,0.26
  g_3409_0.02_8.af,0.57,0.56,0.55,0.55,0.57,0.54,0.57
  g_3521_0.05_2.af,1.53,1.5,1.48,1.48,1.52,1.46,1.53
  g_3582_0.03_3.af,0.93,0.91,0.9,0.9,0.92,0.88,0.91
  g_3690_0.01_8.af,0.35,0.35,0.34,0.34,0.35,0.34,0.35
  Large-result_b1.af,2400,2400,2400,2400,2400,2400,2400
  Large-result_b14.af,71.68,67.95,67.14,69.52,68.79,65.79,68.11
  Large-result_b15.af,52.11,44.89,44.04,49.17,52.08,50.84,42.74
  Large-result_b16.af,2400,2400,2400,2400,2400,2400,2400
  Large-result_b18.af,39.29,40.01,45.1,37.91,38.61,39.6,39.88
  Large-result_b20.af,100.71,72.83,73.09,73.17,72.93,74.54,71.89
  Large-result_b22.af,2400,2400,2400,2400,2400,2400,2400
  Large-result_b5.af,44.54,43.89,43.76,41.99,45.47,44.25,45.23
  Large-result_b6.af,2400,126.71,126.14,126.97,128.07,128.81,133.09
  Medium-result_b1.af,0.29,0.29,0.29,0.29,0.29,0.29,0.29
  Medium-result_b12.af,27.49,20.14,21.72,22.02,22,21.8,21.28
  Medium-result_b17.af,0.57,0.45,0.45,0.45,0.45,0.45,0.45
  Medium-result_b19.af,1.23,1.06,1.05,1.07,1.06,1.06,1.06
  Medium-result_b21.af,2.33,2.49,2.46,2.38,2.38,2.34,2.35
  Medium-result_b22.af,2.36,2.46,2.47,2.41,2.4,2.4,2.43
  Medium-result_b26.af,1.75,1.8,1.92,1.83,1.79,1.8,1.8
  Medium-result_b27.af,1.06,1.06,1.06,1.07,1.07,1.06,1.06
  Medium-result_b28.af,1.2,1.23,1.22,1.23,1.24,1.22,1.22
  Medium-result_b29.af,2.53,2.63,2.58,2.68,2.72,2.57,2.63
  Medium-result_b30.af,6.74,7.36,7.03,7.4,7.25,7.28,7.06
  Medium-result_b4.af,1.95,1.55,1.54,1.6,1.56,1.57,1.54
  Medium-result_b7.af,5.32,6.35,6.7,6.26,6.16,6.3,6.24
  Medium-result_b8.af,7.42,8.54,8.91,8.69,8.61,9,9.09
  metro-st-louis_20130916_1522.gml.20.af,20.41,0.16,0.2,0.2,0.2,0.2,0.2
  metro-st-louis_20130916_1522.gml.80.af,81.09,0.19,0.2,0.19,0.19,0.2,0.2
  n100p3q34ve.af,0.01,0.01,0.01,0.01,0.01,0.01,0.01
  n100p5q2.af,0.01,0.02,0.01,0.01,0.01,0.02,0.02
  n128p5q2_ve.af,0.04,0.1,0.05,0.03,0.02,0.02,0.04
  n150p3q34n.af,0.03,0.02,0.02,0.02,0.02,0.02,0.02
  n160p3q24e.af,0.04,0.17,0.11,0.03,0.02,0.02,0.02
  n160p3q34h.af,0.03,0.02,0.02,0.02,0.02,0.02,0.02
  n160p5q2_ve.af,0.32,0.41,0.11,0.03,0.04,0.04,0.05
  n175p3q34h.af,0.04,0.02,0.02,0.02,0.02,0.02,0.02
  n192p5q2_ve.af,0.16,2.5,0.63,0.06,0.07,0.05,0.04
  n200p3q34h.af,0.15,0.03,0.03,0.03,0.03,0.03,0.03
  n224p5q2_ve.af,0.12,1.19,1.76,0.2,0.13,0.3,0.06
  n256p3q08n.af,79.91,0.05,245.23,12.9,10.93,0.47,3.78
  n256p5q2_e.af,2.92,0.68,17.77,0.2,0.12,0.12,0.16
  n320p5q2_n.af,42.46,49.88,0.19,4.1,0.23,1.28,0.59
  n384p5q2_vh.af,1038.67,140.58,589.17,11.93,6.15,0.56,3.95
  n448p5q2_vh.af,2400,197.05,880.28,63.37,7.58,31.19,5.52
  n512p5q2_vh.af,2400,2400,2400,4.73,11.7,39.22,73.15
  palos-verdes-peninsula-transit-authority_20151216_1829.gml.80.af,0.08,0,0,0,0,0,0
  port-authority-of-allegheny-county_20140619_0109.gml.80.af,105.41,0.18,0.18,0.18,0.19,0.18,0.2
  redding_2015-12-09.gml.80.af,0.22,0.01,0.01,0.01,0.01,0.01,0.01
  rennes_2015-12-18.gml.50.af,0.8,0.01,0.01,0.01,0.01,0.01,0.01
  rpsrute@ruter.no_20150319_1558.gml.80.af,716.5,0.53,0.7,0.65,0.71,0.74,0.73
  sacramento_2015-12.gml.80.af,24.46,0.1,0.11,0.11,0.11,0.11,0.11
  samtrans_20130704_1259.gml.80.af,6.88,0.04,0.04,0.04,0.04,0.04,0.04
  scc_1216_42_0.3_0.05__8.af,0.33,0.29,0.28,0.21,0.23,0.24,0.24
  scc_1236_44_0.3_0.05__7.af,0.13,0.16,0.17,0.13,0.17,0.13,0.13
  scc_1421_35_0.4_0.1__10.af,0.39,0.4,0.41,0.42,0.4,0.33,0.34
  scc_1496_48_0.5_0.2__5.af,0.5,0.5,0.54,0.53,0.53,0.52,0.53
  scc_1523_46_0.4_0.1__8.af,0.25,0.24,0.25,0.25,0.25,0.27,0.26
  scc_1701_10_0.5_0.1__6.af,1.14,1.18,1.24,1.18,1.19,1.19,1.2
  scc_1723_15_0.3_0.05__9.af,0.7,0.73,0.72,0.77,0.66,0.74,0.64
  scc_1726_27_0.5_0.1__5.af,0.59,0.59,0.62,0.62,0.63,0.62,0.63
  scc_1817_23_0.4_0.05__10.af,0.39,0.41,0.42,0.41,0.4,0.4,0.43
  scc_1924_31_0.4_0.1__1.af,0.77,0.78,0.81,0.78,0.78,0.77,0.76
  scc_1985_26_0.4_0.1__3.af,0.56,0.58,0.6,0.62,0.58,0.58,0.59
  scc_226_18_0.5_0.1__10.af,0.03,0.02,0.02,0.02,0.01,0.01,0.01
  scc_437_39_0.3_0.05__4.af,0.09,0.03,0.03,0.04,0.03,0.03,0.03
  scc_5357_62_0.4_0.1__8.af,3.52,3.55,3.81,3.75,3.82,3.79,3.84
  scc_5699_47_0.4_0.1__1.af,6.49,6.48,6.76,5.88,5.93,5.85,6.54
  scc_6043_65_0.5_0.2__9.af,7.56,7.45,8.01,7.91,7.94,7.85,8.12
  scc_6397_56_0.3_0.05__8.af,3.01,3.07,3.15,3.28,3.26,3.22,3.33
  scc_6552_62_0.4_0.2__2.af,10.29,10.25,10.81,10.65,10.54,10.65,10.62
  scc_658_18_0.5_0.2__10.af,0.1,0.1,0.1,0.1,0.1,0.1,0.1
  scc_6634_44_0.4_0.1__3.af,8.59,8.58,9.24,8,8.39,7.85,8.85
  scc_7620_55_0.3_0.1__4.af,7.64,7.58,7.93,7.81,7.67,7.68,7.68
  scc_7685_43_0.3_0.1__2.af,10.03,9.8,10.22,12.08,11.82,12.14,12.05
  scc_925_45_0.3_0.05__1.af,0.19,0.13,0.14,0.11,0.16,0.16,0.11
  scc_9394_40_0.4_0.1__5.af,23.76,25.79,27.83,22.15,26.88,23.56,21.82
  scc_9976_43_0.4_0.1__7.af,25.24,26.26,27.27,29.88,28.11,30.79,25.65
  sembuster_1200.af,64.7,0.84,0.84,0.85,0.85,0.85,0.87
  sembuster_150.af,0.17,0.01,0.01,0.01,0.01,0.01,0.01
  sembuster_1500.af,121.42,1.36,1.42,1.36,1.4,1.4,1.31
  sembuster_1800.af,213.46,2,2.3,2.18,2.24,2.07,2.23
  sembuster_2400.af,524.69,3.99,4.29,4.38,4.31,4.18,4.32
  sembuster_300.af,1.15,0.05,0.05,0.05,0.05,0.05,0.05
  sembuster_3000.af,942.06,6.91,6.98,6.99,6.53,6.8,7.01
  sembuster_3600.af,2400,10.67,10.1,10.78,10.6,9.59,10.7
  sembuster_4200.af,2400,14.78,14.79,14.15,13.85,15.02,14.88
  sembuster_4800.af,2400,19.82,20.37,20.57,19.05,20.73,20.67
  sembuster_5400.af,2400,26.09,24.5,26.19,26.72,26.18,26.16
  sembuster_600.af,9.18,0.2,0.21,0.21,0.21,0.21,0.21
  sembuster_6000.af,2400,32.49,33.68,30.8,33.59,31.44,34.23
  sembuster_7500.af,2400,56.02,56.9,55.57,54.59,55.13,55.3
  sembuster_900.af,26.86,0.46,0.46,0.48,0.46,0.46,0.45
  Small-result_b26.af,0.03,0.03,0.03,0.03,0.03,0.03,0.03
  Small-result_b27.af,0.03,0.03,0.03,0.03,0.03,0.03,0.03
  st_1015_36_27_3440.af,2400,2400,2400,2400,2400,2400,2400
  st_1037_97_34_647.af,2400,2400,2400,2400,2400,2400,2400
  st_1230_64_16_373.af,2400,2400,2400,2400,2400,2400,2400
  st_1234_99_25_3756.af,2400,2400,2400,2400,2400,2400,2400
  st_1244_87_28_3669.af,2400,2400,2400,2400,2400,2400,2400
  st_1276_43_25_1938.af,2400,2400,2400,2400,2400,2400,2400
  st_1350_55_31_149.af,2400,2400,2400,2400,2400,2400,2400
  st_1352_53_23_3737.af,2400,2400,2400,2400,2400,2400,2400
  st_1391_70_12_1674.af,2400,2400,2400,2400,2400,2400,2400
  st_1400_85_28_2113.af,2400,2400,2400,2400,2400,2400,2400
  st_1412_95_15_3263.af,2400,2400,2400,2400,2400,2400,2400
  st_1489_41_39_1070.af,2400,2400,2400,2400,2400,2400,2400
  st_400_44_32_3867.af,16.87,19.84,25.49,42.98,56.47,62.96,79.29
  st_425_53_10_1991.af,333.96,554.45,161.99,247.41,50.39,160.34,11.4
  st_439_93_17_3099.af,0.13,0.11,0.15,0.09,0.09,0.09,0.08
  st_496_75_39_1354.af,2400,2400,2400,2400,2400,1118.74,2400
  st_521_43_14_3157.af,2400,2400,2400,2400,2400,1108.62,2400
  st_659_37_25_686.af,2400,2400,2400,2400,2400,2400,2400
  st_704_68_9_3183.af,2400,2400,2400,2400,2400,2400,2400
  st_815_74_9_2860.af,2400,2400,2400,2400,2400,2400,2400
  st_826_34_8_3910.af,2400,2400,2400,2400,2400,2400,2400
  st_883_28_16_1144.af,2400,2400,2400,2400,2400,2400,2400
  st_890_86_9_572.af,2400,2400,2400,2400,2400,2400,2400
  st_902_67_36_2711.af,2400,2400,2400,2400,2400,2400,2400
  st_955_26_12_3941.af,2400,2400,2400,2400,2400,2400,2400
  stanislaus_ca_2015-12-02.gml.20.af,0.05,0.01,0.01,0.01,0.01,0.01,0.01
  thecomet_20131025_1906.gml.20.af,0.01,0,0,0,0,0,0
  triangle-transit_20150227_1741.gml.20.af,0.11,0.01,0.01,0.01,0.01,0.01,0.01
  umpquatransit_or_2015-12-03.gml.50.af,0.04,0,0,0,0,0,0
  view2gt_20150927_1744.gml.20.af,0.03,0,0,0,0,0,0
  WS_100_12_90_30.af,0,0,0,0,0,0,0
  WS_100_18_30_10.af,0,0.01,0.01,0.01,0.01,0.01,0.01
  WS_100_24_70_50.af,0.01,0.01,0.01,0.01,0.01,0.01,0.01
  WS_100_24_70_70.af,0.01,0.02,0.02,0.02,0.02,0.02,0.03
  WS_100_6_10_30.af,0,0,0,0,0,0,0
  WS_100_6_10_50.af,0,0,0,0,0,0,0
  WS_100_6_30_10.af,0,0,0,0,0,0,0
  WS_100_6_70_70.af,0,0,0,0,0,0,0
  WS_200_20_50_70.af,0.15,0.13,0.17,0.19,0.19,0.2,0.2
  WS_200_20_70_30.af,0.78,1.08,1.36,1.56,1.72,1.83,1.96
  WS_200_20_90_10.af,1.39,1.56,1.72,1.46,1.48,1.74,2.1
  WS_200_28_70_10.af,0.79,0.51,1.1,0.51,1.42,0.73,0.3
  WS_200_28_70_50.af,1.61,5.3,9.01,0.2,0.05,2.05,0.24
  WS_200_8_90_30.af,0,0.01,0.01,0.01,0.01,0.01,0.01
  WS_300_8_10_70.af,0.01,0.01,0.01,0.01,0.01,0.01,0.01
  WS_400_16_10_30.af,0.01,0.02,0.02,0.02,0.02,0.02,0.02
  WS_400_24_30_10.af,2.11,2.66,2.94,6.14,6.18,6.26,5.11
  WS_400_24_50_10.af,2400,2400,2400,2400,2400,2400,2400
  WS_400_32_30_30.af,144.2,115.21,186,200.71,243.47,372.13,365.18
  WS_400_32_70_70.af,2400,2400,2400,2400,2400,2400,2400
